intent;adjective;distance;qid
income;average ;0;WF-1
income;average;1;WF-1
density;average tree ;0;WF-2
density;average;2;WF-2
density;tree;1;WF-2
density;average green roof ;0;WF-3
density;average;3;WF-3
density;green;2;WF-3
density;roof;1;WF-3
distance;mean ;0;WF-4
distance;mean;1;WF-4
distance;average ;0;WF-5
distance;average;1;WF-5
percentage;average ;0;WF-6
percentage;average;1;WF-6
year;average construction ;0;WF-7
year;average;2;WF-7
year;construction;1;WF-7
percentage;average ;0;WF-10
percentage;average;1;WF-10
distance;average ;0;WF-11
distance;average;1;WF-11
distance;mean ;0;WF-12
distance;mean;1;WF-12
density;average wall plant ;0;WF-14
density;average;3;WF-14
density;wall;2;WF-14
density;plant;1;WF-14
Index;Safety ;0;WF-17
Index;Safety;1;WF-17
effect;average urban heat island ;0;WF-18
effect;average;4;WF-18
effect;urban;3;WF-18
effect;heat;2;WF-18
effect;island;1;WF-18
label;average energy ;0;WF-19
label;average;2;WF-19
label;energy;1;WF-19
distance;average ;0;WF-20
distance;average;1;WF-20
